trip_id,1136,1156,1900,1901,1904,1988,2283,2287,2289,3313,6017,6018,6019,6020,6021,6022B,6023,6024,6053,6054B,6055,6056,6058,6059,6060,6061,6062,6190,6191,6435,6436,9023B,9291,9296,9996
113354326237585601,11:16:00,,10:56:00,10:58:44,10:57:44,,11:18:00,,11:19:00,,11:03:07,11:04:39,11:05:56,11:06:50,11:10:28,11:12:56,11:12:00,11:14:04,,,,,,,,,,,11:09:00,11:00:00,,11:01:33,11:08:21,,
113354327237585601,10:56:00,,10:36:00,10:38:44,10:37:44,,10:58:00,,10:59:00,,10:43:07,10:44:39,10:45:56,10:46:50,10:50:28,10:52:56,10:52:00,10:54:04,,,,,,,,,,,10:49:00,10:40:00,,10:41:33,10:48:21,,
113354328237585601,09:35:00,,09:16:00,09:18:44,09:17:44,,09:37:00,,09:38:00,,09:22:46,09:24:08,09:25:16,09:26:05,09:29:28,09:31:56,09:31:00,09:33:04,,,,,,,,,,,09:28:00,09:20:00,,09:21:23,09:27:25,,
113354329237585601,09:11:00,,08:53:00,08:55:44,08:54:44,,09:13:00,,09:14:00,,08:59:25,09:00:37,09:01:37,09:02:19,09:05:28,09:07:56,09:07:00,09:09:04,,,,,,,,,,,09:04:00,08:57:00,,08:58:12,09:03:30,,
113354330237585601,07:14:00,,06:57:00,06:59:44,06:58:44,,07:16:00,,07:17:00,,07:03:25,07:04:37,07:05:37,07:06:19,07:09:28,07:11:42,07:11:00,07:12:33,,,,,,,,,,,07:08:00,07:01:00,,07:02:12,07:07:30,,
113354331237585601,,21:46:00,22:08:00,,,22:04:00,,21:44:00,21:43:00,22:00:01,,,,,,,,,21:47:19,21:48:05,21:49:00,21:50:17,21:53:35,21:54:51,21:55:55,21:57:36,21:59:11,21:52:00,,,22:01:00,,,21:52:34,
113354332237585601,,21:06:00,21:28:00,,,21:24:00,,21:04:00,21:03:00,21:20:01,,,,,,,,,21:07:19,21:08:05,21:09:00,21:10:17,21:13:35,21:14:51,21:15:55,21:17:36,21:19:11,21:12:00,,,21:21:00,,,21:12:34,
113354333237585601,22:14:00,,21:54:00,21:57:25,21:56:11,,22:16:00,,22:17:00,,22:02:07,22:03:39,22:04:56,22:05:50,22:09:28,22:11:42,22:11:00,22:12:33,,,,,,,,,,,22:08:00,21:59:00,,22:00:33,22:07:21,,
113354334237585601,21:54:00,,21:34:00,21:37:25,21:36:11,,21:56:00,,21:57:00,,21:42:07,21:43:39,21:44:56,21:45:50,21:49:28,21:51:42,21:51:00,21:52:33,,,,,,,,,,,21:48:00,21:39:00,,21:40:33,21:47:21,,
113354335237585601,21:15:00,,20:55:00,20:58:25,20:57:11,,,,,,21:03:07,21:04:39,21:05:56,21:06:50,21:10:28,21:12:42,21:12:00,21:13:33,,,,,,,,,,,21:09:00,21:00:00,,21:01:33,21:08:21,,21:17:00
113354336237585601,08:45:00,,08:27:00,08:29:44,08:28:44,,08:47:00,,08:48:00,,08:33:25,08:34:37,08:35:37,08:36:19,08:39:28,08:41:56,08:41:00,08:43:04,,,,,,,,,,,08:38:00,08:31:00,,08:32:12,08:37:30,,
113354337237585601,12:36:00,,12:15:00,12:18:25,12:17:11,,12:38:00,,12:39:00,,12:23:07,12:24:39,12:25:56,12:26:50,12:30:28,12:32:56,12:32:00,12:34:04,,,,,,,,,,,12:29:00,12:20:00,,12:21:33,12:28:21,,
113354338237585601,11:56:00,,11:35:00,11:38:25,11:37:11,,11:58:00,,11:59:00,,11:43:07,11:44:39,11:45:56,11:46:50,11:50:28,11:52:56,11:52:00,11:54:04,,,,,,,,,,,11:49:00,11:40:00,,11:41:33,11:48:21,,
