trip_id,1016,1024,1051,1052,1082,1083,1089,1090,1349,1356,1827,1837,1838,1839,2305,2308,2315,2316,2317,2325,2326,2327,2352,2358,2359,2360,2370,2376,2868,2870,3001B,3003,3005,3007,3008,3014,3058,3059,3061,3063
113100326236763001,13:35:29,13:37:00,,,,13:39:00,13:20:19,,13:33:56,,13:16:00,13:16:31,,,,,,,,13:29:50,,,,13:17:00,13:17:55,13:19:00,13:32:00,13:26:00,,13:29:00,13:14:00,13:19:22,13:20:43,13:22:17,13:23:00,13:21:26,,,,
113100327236763001,12:55:29,12:57:00,,,,12:59:00,12:39:39,,12:53:56,,12:35:00,12:35:31,,,,,,,,12:49:50,,,,12:36:00,12:36:55,12:38:00,12:52:00,12:46:00,,12:49:00,12:33:00,12:38:27,12:40:08,12:42:06,12:43:00,12:41:02,,,,
113100328236763001,12:35:29,12:37:00,,,,12:39:00,12:19:39,,12:33:56,,12:15:00,12:15:31,,,,,,,,12:29:50,,,,12:16:00,12:16:55,12:18:00,12:32:00,12:26:00,,12:29:00,12:13:00,12:18:27,12:20:08,12:22:06,12:23:00,12:21:02,,,,
113100329236763001,13:55:29,13:57:00,,,,13:59:00,13:40:19,,13:53:56,,13:36:00,13:36:31,,,,,,,,13:49:50,,,,13:37:00,13:37:55,13:39:00,13:52:00,13:46:00,,13:49:00,13:34:00,13:39:22,13:40:43,13:42:17,13:43:00,13:41:26,,,,
113100330236763001,,,12:25:13,12:24:00,12:23:00,,,12:39:37,,12:26:45,,,12:43:30,12:44:00,12:28:00,12:34:00,12:41:00,12:42:05,12:43:00,,12:30:23,12:38:35,12:45:53,,,,,,12:31:00,,12:47:00,,,,,,12:37:00,12:37:40,12:39:13,12:40:38
113100331236763001,,,13:45:13,13:44:00,13:43:00,,,13:59:37,,13:46:45,,,14:03:30,14:04:00,13:48:00,13:54:00,14:01:00,14:02:05,14:03:00,,13:50:23,13:58:35,14:05:53,,,,,,13:51:00,,14:07:00,,,,,,13:57:00,13:57:40,13:59:13,14:00:38
113100332236763001,12:15:29,12:17:00,,,,12:19:00,11:59:39,,12:13:56,,11:55:00,11:55:31,,,,,,,,12:09:50,,,,11:56:00,11:56:55,11:58:00,12:12:00,12:06:00,,12:09:00,11:53:00,11:58:27,12:00:08,12:02:06,12:03:00,12:01:02,,,,
113100333236763001,,,12:45:13,12:44:00,12:43:00,,,12:59:37,,12:46:45,,,13:03:30,13:04:00,12:48:00,12:54:00,13:01:00,13:02:05,13:03:00,,12:50:23,12:58:35,13:05:53,,,,,,12:51:00,,13:07:00,,,,,,12:57:00,12:57:40,12:59:13,13:00:38
113100334236763001,,,13:25:13,13:24:00,13:23:00,,,13:39:37,,13:26:45,,,13:43:30,13:44:00,13:28:00,13:34:00,13:41:00,13:42:05,13:43:00,,13:30:23,13:38:35,13:45:53,,,,,,13:31:00,,13:47:00,,,,,,13:37:00,13:37:40,13:39:13,13:40:38
113100335236763001,11:34:29,11:36:00,,,,11:38:00,11:18:39,,11:32:56,,11:14:00,11:14:31,,,,,,,,11:28:50,,,,11:15:00,11:15:55,11:17:00,11:31:00,11:25:00,,11:28:00,11:12:00,11:17:27,11:19:08,11:21:06,11:22:00,11:20:02,,,,
113100336236763001,07:06:29,07:08:00,,,,07:10:00,06:51:39,,07:04:56,,06:47:00,06:47:31,,,,,,,,07:00:50,,,,06:48:00,06:48:55,06:50:00,07:03:00,06:58:00,,07:00:00,06:46:00,06:50:27,06:52:08,06:54:06,06:55:00,06:53:02,,,,
113100337236763001,,,06:44:13,06:43:00,06:42:00,,,06:58:17,,06:45:45,,,07:02:30,07:03:00,06:47:00,06:52:00,07:00:00,07:01:05,07:02:00,,06:49:23,06:56:59,07:04:53,,,,,,06:50:00,,07:06:00,,,,,,06:55:00,06:55:50,06:57:46,06:59:33
113100338236763001,09:32:11,09:34:00,,,,09:36:00,09:15:39,,09:30:20,,09:11:00,09:11:31,,,,,,,,09:25:50,,,,09:12:00,09:12:55,09:14:00,09:28:00,09:22:00,,09:25:00,09:09:00,09:14:27,09:16:08,09:18:06,09:19:00,09:17:02,,,,
113100339236763001,09:59:29,10:01:00,,,,10:03:00,09:43:39,,09:57:56,,09:39:00,09:39:31,,,,,,,,09:53:50,,,,09:40:00,09:40:55,09:42:00,09:56:00,09:50:00,,09:53:00,09:37:00,09:42:27,09:44:08,09:46:06,09:47:00,09:45:02,,,,
113100340236763001,11:13:29,11:15:00,,,,11:17:00,10:57:39,,11:11:56,,10:53:00,10:53:31,,,,,,,,11:07:50,,,,10:54:00,10:54:55,10:56:00,11:10:00,11:04:00,,11:07:00,10:51:00,10:56:27,10:58:08,11:00:06,11:01:00,10:59:02,,,,
