trip_id,2241G,2242F,2246F,2793F,3308F,3317,3321,3330F,3334F,3334G,3335F,3337F,3338F,3360F,5039,5040,5041F,5042,5274F,5275F,5277F,5278F,5279F,5308F,5354H,5874F,6204,6258
113562860238547602,10:32:00,,,,10:36:00,10:23:07,,10:20:52,,,10:20:00,,,,,,,10:25:00,10:28:00,10:26:45,,,,10:30:00,,10:25:58,,10:33:39
113562861238547602,12:13:00,,,,12:17:00,12:04:07,,12:01:52,,,12:01:00,,,,,,,12:06:00,12:09:00,12:07:45,,,,12:11:00,,12:06:58,,12:14:39
113562862238547602,20:53:00,,,,20:57:00,20:44:07,,20:41:52,,,20:41:00,,,,,,,20:46:00,20:49:00,20:47:45,,,,20:51:00,,20:46:58,,20:54:39
113562863238547602,09:10:00,,,,09:13:00,09:01:07,,08:58:52,,,08:58:00,,,,,,,09:03:00,09:06:00,09:04:45,,,,09:08:00,,09:03:58,,09:11:14
113562864238547602,20:33:00,,,,20:37:00,20:24:07,,20:21:52,,,20:21:00,,,,,,,20:26:00,20:29:00,20:27:45,,,,20:31:00,,20:26:58,,20:34:39
113562865238547602,09:34:00,,,,09:37:00,09:25:07,,09:22:52,,,09:22:00,,,,,,,09:27:00,09:30:00,09:28:45,,,,09:32:00,,09:27:58,,09:35:14
113562866238547602,10:12:00,,,,10:16:00,10:03:29,,10:01:42,,,10:01:00,,,,,,,10:05:00,10:08:00,10:06:45,,,,10:10:00,,10:05:58,,10:13:39
113562867238547602,11:12:00,,,,11:16:00,11:03:07,,11:00:52,,,11:00:00,,,,,,,11:05:00,11:08:00,11:06:45,,,,11:10:00,,11:05:58,,11:13:39
113562868238547602,11:33:00,,,,11:37:00,11:24:07,,11:21:52,,,11:21:00,,,,,,,11:26:00,11:29:00,11:27:45,,,,11:31:00,,11:26:58,,11:34:39
113562869238547602,15:12:00,,,,15:16:00,15:03:07,,15:00:52,,,15:00:00,,,,,,,15:05:00,15:08:00,15:06:45,,,,15:10:00,,15:05:58,,15:13:39
113562870238547602,09:51:00,,,,09:54:00,09:42:07,,09:39:52,,,09:39:00,,,,,,,09:44:00,09:47:00,09:45:45,,,,09:49:00,,09:44:58,,09:52:14
113562871238547602,08:40:00,,,,08:43:00,08:31:07,,08:28:52,,,08:28:00,,,,,,,08:33:00,08:36:00,08:34:45,,,,08:38:00,,08:33:58,,08:41:14
113562872238547602,10:51:00,,,,10:55:00,10:42:07,,10:39:52,,,10:39:00,,,,,,,10:44:00,10:47:00,10:45:45,,,,10:49:00,,10:44:58,,10:52:39
113562873238547602,11:51:00,,,,11:55:00,11:42:07,,11:39:52,,,11:39:00,,,,,,,11:44:00,11:47:00,11:45:45,,,,11:49:00,,11:44:58,,11:52:39
