trip_id,1453,1455,1472,4287,4288,4289,4290,4292,4293,4294,4295,4296,4297,4298,4299,4310,4311,4313,4314,4315,4318,4319,4340,4341,4342,4344,4345,4347,4348,4349,4351,4355,4357,4358,9059
113306221237420000,,09:43:57,,09:36:58,,,,09:37:42,09:47:59,09:48:41,09:50:01,09:51:15,09:53:00,,,,,,,,,,,09:38:59,,,,,09:41:35,,09:40:00,09:43:00,09:45:03,09:47:00,09:36:00
113306222237420000,,09:54:57,,09:47:58,,,,09:48:42,09:58:59,09:59:41,10:01:01,10:02:15,10:04:00,,,,,,,,,,,09:49:59,,,,,09:52:35,,09:51:00,09:54:00,09:56:03,09:58:00,09:47:00
113306223237420000,,10:06:57,,09:59:58,,,,10:00:42,10:10:59,10:11:41,10:13:01,10:14:15,10:16:00,,,,,,,,,,,10:01:59,,,,,10:04:35,,10:03:00,10:06:00,10:08:03,10:10:00,09:59:00
113306224237420000,,10:18:57,,10:11:58,,,,10:12:42,10:22:59,10:23:41,10:25:01,10:26:15,10:28:00,,,,,,,,,,,10:13:59,,,,,10:16:35,,10:15:00,10:18:00,10:20:03,10:22:00,10:11:00
113306225237420000,,10:44:57,,10:37:58,,,,10:38:42,10:48:59,10:49:41,10:51:01,10:52:15,10:54:00,,,,,,,,,,,10:39:59,,,,,10:42:35,,10:41:00,10:44:00,10:46:03,10:48:00,10:37:00
113306226237420000,,10:59:57,,10:52:58,,,,10:53:42,11:03:59,11:04:41,11:06:01,11:07:15,11:09:00,,,,,,,,,,,10:54:59,,,,,10:57:35,,10:56:00,10:59:00,11:01:03,11:03:00,10:52:00
113306227237420000,,11:14:57,,11:07:58,,,,11:08:42,11:18:59,11:19:41,11:21:01,11:22:15,11:24:00,,,,,,,,,,,11:09:59,,,,,11:12:35,,11:11:00,11:14:00,11:16:03,11:18:00,11:07:00
113306228237420000,,11:29:57,,11:22:58,,,,11:23:42,11:33:59,11:34:41,11:36:01,11:37:15,11:39:00,,,,,,,,,,,11:24:59,,,,,11:27:35,,11:26:00,11:29:00,11:31:03,11:33:00,11:22:00
113306229237420000,,11:44:57,,11:37:58,,,,11:38:42,11:48:59,11:49:41,11:51:01,11:52:15,11:54:00,,,,,,,,,,,11:39:59,,,,,11:42:35,,11:41:00,11:44:00,11:46:03,11:48:00,11:37:00
113306230237420000,,11:59:57,,11:52:58,,,,11:53:42,12:03:59,12:04:41,12:06:01,12:07:15,12:09:00,,,,,,,,,,,11:54:59,,,,,11:57:35,,11:56:00,11:59:00,12:01:03,12:03:00,11:52:00
113306231237420000,,12:14:57,,12:07:58,,,,12:08:42,12:18:59,12:19:41,12:21:01,12:22:15,12:24:00,,,,,,,,,,,12:09:59,,,,,12:12:35,,12:11:00,12:14:00,12:16:03,12:18:00,12:07:00
113306232237420000,,12:29:57,,12:22:58,,,,12:23:42,12:33:59,12:34:41,12:36:01,12:37:15,12:39:00,,,,,,,,,,,12:24:59,,,,,12:27:35,,12:26:00,12:29:00,12:31:03,12:33:00,12:22:00
113306233237420000,,12:44:57,,12:37:58,,,,12:38:42,12:48:59,12:49:41,12:51:01,12:52:15,12:54:00,,,,,,,,,,,12:39:59,,,,,12:42:35,,12:41:00,12:44:00,12:46:03,12:48:00,12:37:00
113306234237420000,,12:59:57,,12:52:58,,,,12:53:42,13:03:59,13:04:41,13:06:01,13:07:15,13:09:00,,,,,,,,,,,12:54:59,,,,,12:57:35,,12:56:00,12:59:00,13:01:03,13:03:00,12:52:00
113306235237420000,,13:14:57,,13:07:58,,,,13:08:42,13:18:59,13:19:41,13:21:01,13:22:15,13:24:00,,,,,,,,,,,13:09:59,,,,,13:12:35,,13:11:00,13:14:00,13:16:03,13:18:00,13:07:00
